datetime,action,futures,etf,spread,zscore,tc,reason,pnl_fut,pnl_etf,total,cum_pnl
2025-09-30 13:04:00,open,-8.0,84027.0,-5.9070137961774805,-2.6821346624656126,516.9738049499999,,,,,
2025-09-30 13:07:00,close,,,,,1034.6114232,stop_loss,-3199.9999999993634,6638.132999999456,2403.5215768000926,2403.5215768000926
2025-09-30 13:08:00,open,-8.0,84015.0,-5.895307819986783,-2.564853752583015,517.40749275,,,,,
2025-09-30 14:00:00,close,,,,,1034.7981825,stop_loss,2400.000000000091,-168.02999999960838,1197.1718175004828,3600.693394300575
2025-09-30 14:01:00,open,-8.0,83996.0,-5.865331405701198,-2.264523298705532,517.1489156,,,,,
2025-09-30 14:08:00,close,,,,,1034.1886364000002,stop_loss,3199.9999999993634,-1091.9479999992457,1073.8633636001177,4674.556757900693
2025-09-30 14:09:00,open,-8.0,83998.0,-5.867013796177488,-2.2813789869986563,516.9716622999999,,,,,
2025-09-30 14:14:00,close,,,,,1034.3297154000002,stop_loss,800.0000000004093,3863.9080000005442,3629.5782846009533,8304.135042501646
2025-09-30 14:30:00,open,-8.0,83996.0,-5.866990210463058,-2.281142684275708,517.2329116,,,,,
2025-09-30 14:32:00,close,,,,,1034.3818272,stop_loss,3199.9999999993634,-839.9599999992361,1325.6581728001272,9629.793215301774
2025-09-30 14:37:00,open,-8.0,84000.0,-5.869184393796544,-2.303125969873455,516.9288,,,,,
2025-10-10 09:32:00,close,,,,,1037.8392,signal,-41599.99999999968,39815.99999999912,-2821.83920000056,6807.954015301213
2025-10-16 09:47:00,open,-8.0,84148.0,-6.120024791413769,-2.277028962603056,520.5236888000001,,,,,
2025-10-16 10:12:00,close,,,,,1040.6013932,stop_loss,6399.999999999864,-4459.84399999977,899.5546068000936,7707.508622101306
2025-10-16 10:31:00,open,-8.0,84148.0,-6.122830608080278,-2.3192652641249096,520.830829,,,,,
2025-10-16 11:05:00,close,,,,,1041.2745772,stop_loss,5599.999999999454,-3870.8079999993497,687.9174228001045,8395.426044901411
2025-10-16 11:08:00,open,-8.0,84154.0,-6.131001205699349,-2.4422582696095345,520.7863082000001,,,,,
2025-10-16 11:18:00,close,,,,,1041.2191696,stop_loss,5600.000000000591,-3534.468000000134,1024.3128304004572,9419.738875301868
2025-10-16 11:23:00,open,-8.0,84147.0,-6.122660010461203,-2.3166972372954437,520.8712055999999,,,,,
2025-10-16 14:21:00,close,,,,,1042.7353458000002,stop_loss,-6399.999999999864,9929.34599999958,2486.6106541997156,11906.349529501584
2025-10-16 14:25:00,open,-8.0,84141.0,-6.124418655698875,-2.3431703391965377,521.694015,,,,,
2025-10-16 14:35:00,close,,,,,1042.7149020000002,stop_loss,8799.999999999955,-6731.279999999857,1026.0050980000974,12932.354627501682
2025-10-16 14:42:00,open,-8.0,84144.0,-6.125271643794221,-2.356010473343439,521.480364,,,,,
2025-10-17 09:30:00,close,,,,,1045.274688,stop_loss,-16000.000000000227,23139.599999999282,6094.325311999055,19026.679939500737
2025-10-23 09:41:00,open,8.0,-83871.0,-5.755324312841211,2.5368566223297684,522.73470795,,,,,
2025-10-23 09:47:00,close,,,,,1045.8887709,stop_loss,6399.999999999864,-4193.549999999762,1160.5612291001016,20187.241168600838
2025-10-23 09:48:00,open,8.0,-83884.0,-5.775397818793522,2.308601921822916,522.8413712,,,,,
2025-10-23 10:01:00,close,,,,,1046.42931,stop_loss,9200.000000000728,-7465.675999999886,687.8946900008418,20875.13585860168
2025-10-23 10:05:00,open,8.0,-83877.0,-5.770277141412379,2.366828854616907,523.2526794,,,,,
2025-10-23 10:42:00,close,,,,,1047.2518641,stop_loss,8799.999999999955,-7465.052999999885,287.6951359000693,21162.83099450175
2025-10-23 14:09:00,open,8.0,-83881.0,-5.779082958078888,2.2666984114991267,523.5574895500001,,,,,
2025-10-23 14:53:00,close,,,,,1044.6572658,stop_loss,-18400.00000000032,24577.133000000533,5132.475734200212,26295.306728701962
2025-10-27 09:30:00,open,8.0,-83847.0,-5.686436743795156,2.6093428808692343,519.65734815,,,,,
2025-10-27 09:31:00,close,,,,,1039.3901586,stop_loss,7200.000000000273,-754.6230000000286,5405.986841400244,31701.293570102207
2025-10-28 09:37:00,open,-8.0,83700.0,-6.058358893791919,-2.256456129870111,523.8940650000001,,,,,
2025-10-28 09:42:00,close,,,,,1047.9471600000002,stop_loss,799.9999999992724,1590.3000000004567,1342.352839999729,33043.64641010194
2025-10-28 09:48:00,open,-8.0,83700.0,-6.076211881887261,-2.489708354481431,523.592745,,,,,
2025-10-28 09:52:00,close,,,,,1046.74188,stop_loss,7200.000000000273,-4436.099999999771,1717.1581200005016,34760.80453010244
2025-10-28 10:01:00,open,-8.0,83700.0,-6.071553077125401,-2.428840304330367,523.5216,,,,,
2025-10-28 10:11:00,close,,,,,1046.56611,stop_loss,6399.999999999864,-4770.900000000181,582.533889999683,35343.338420102125
2025-10-28 10:17:00,open,-8.0,83800.0,-6.0674060652207515,-2.374658912000784,523.9089,,,,,
2025-10-28 10:19:00,close,,,,,1047.6502,stop_loss,5600.000000000591,-1675.9999999996667,2876.3498000009245,38219.68822010305
2025-10-28 10:33:00,open,-8.0,83700.0,-6.0780412842681955,-2.51360979735382,523.63041,,,,,
2025-10-28 10:34:00,close,,,,,1047.1269000000002,stop_loss,3600.0000000001364,-1339.1999999992577,1213.6731000008785,39433.36132010393
2025-10-28 11:07:00,open,-8.0,83700.0,-6.073700089030041,-2.4568913678470055,523.73922,,,,,
2025-10-28 11:15:00,close,,,,,1047.56214,stop_loss,1599.9999999996817,836.9999999992388,1389.4378599989204,40822.799180102855
2025-10-28 11:19:00,open,-8.0,83700.0,-6.062870686649106,-2.3154034453169237,523.73922,,,,,
2025-10-28 15:00:00,close,,,,,1048.3824,stop_loss,-5600.000000000591,9039.599999999153,2391.2175999985616,43214.01678010142
2025-10-29 10:37:00,open,-8.0,83600.0,-6.171946941410511,-2.3915259601914918,523.7273600000001,,,,,
2025-10-29 10:39:00,close,,,,,1047.2039200000002,stop_loss,4800.000000000182,-2508.000000000095,1244.7960800000867,44458.812860101505
2025-10-29 10:44:00,open,-8.0,83600.0,-6.16662933188681,-2.3426552118531414,523.56852,,,,,
2025-10-29 11:11:00,close,,,,,1047.22064,stop_loss,1600.0000000008185,836.0000000004277,1388.779360001246,45847.59222010275
2025-10-29 13:53:00,open,-8.0,83700.0,-6.160188296172848,-2.283459771869743,523.51323,,,,,
2025-10-29 14:20:00,close,,,,,1046.0136900000002,stop_loss,11200.000000000045,-10127.700000000781,26.286309999264176,45873.87853010201
2025-10-29 14:32:00,open,-8.0,83800.0,-6.157382479506325,-2.2576733053038827,523.80415,,,,,
2025-10-29 14:43:00,close,,,,,1047.2228200000002,stop_loss,5599.999999999454,-3854.799999999352,697.977180000102,46571.855710102114
2025-10-31 09:40:00,open,-8.0,83500.0,-6.328511403314707,-2.2926630483284933,523.651475,,,,,
2025-10-31 09:43:00,close,,,,,1047.5785,stop_loss,-0.0,2755.4999999989177,1707.9214999989176,48279.777210101034
2025-11-04 09:38:00,open,8.0,-83300.0,-5.931387977124487,2.4817382921255553,523.6125750000001,,,,,
2025-11-04 14:07:00,close,,,,,1048.05815,stop_loss,9599.999999999227,-8330.00000000071,221.94184999851745,48501.71906009955
2025-11-04 14:11:00,open,8.0,-83200.0,-5.940682000933776,2.3638635151291996,523.4246400000001,,,,,
2025-11-04 14:55:00,close,,,,,1047.0406400000002,signal,800.0000000004093,-1913.5999999996784,-2160.6406399992693,46341.07842010028
2025-11-05 11:09:00,open,8.0,-83100.0,-5.747340805695629,2.310177955362574,523.717695,,,,,
2025-11-05 11:14:00,close,,,,,1047.2775000000001,stop_loss,800.0000000004093,1578.9000000004535,1331.6225000008626,47672.700920101146
2025-11-05 11:19:00,open,8.0,-83100.0,-5.753023196171924,2.2675445067454976,523.5141000000001,,,,,
2025-11-05 13:03:00,close,,,,,1046.5296,stop_loss,-800.0000000004093,4986.000000000189,3139.47039999978,50812.171320100926
2025-11-05 13:24:00,open,8.0,-83200.0,-5.7518761842672745,2.276150228809836,523.89472,,,,,
2025-11-05 14:35:00,close,,,,,1047.33184,signal,-3200.0000000005,4576.0000000005675,328.66816000006725,51140.83948010099
2025-11-10 14:45:00,open,-8.0,83500.0,-6.041093953315169,-2.333591140935154,523.901975,,,,,
2025-11-11 10:59:00,close,,,,,1048.8978000000002,stop_loss,-7200.000000000273,10938.500000000018,2689.602199999745,53830.44168010074
2025-11-14 13:40:00,open,8.0,-83500.0,-5.751406065220749,2.43712988158203,523.4385500000001,,,,,
2025-11-14 13:47:00,close,,,,,1047.1693500000001,stop_loss,4799.999999999045,-2922.4999999997153,830.3306499993296,54660.772330100066
2025-11-14 13:59:00,open,8.0,-83500.0,-5.7602354676016745,2.32266477289149,523.4469,,,,,
2025-11-14 14:15:00,close,,,,,1047.33635,stop_loss,6399.999999999864,-4425.499999999773,927.1636500000909,55587.935980100156
2025-11-14 14:18:00,open,8.0,-83500.0,-5.760382479506319,2.320758898301349,523.67235,,,,,
2025-11-17 09:30:00,close,,,,,1048.4803000000002,stop_loss,13600.000000000136,-11355.99999999964,1195.5197000004964,56783.455680100655
2025-11-18 13:11:00,open,-8.0,83300.0,-6.131658415219363,-2.288065374095583,523.50012,,,,,
2025-11-18 13:30:00,close,,,,,1046.92527,stop_loss,3200.0000000005,-749.7000000000285,1403.3747300004718,58186.83041010112
2025-11-18 13:57:00,open,-8.0,83400.0,-6.135364391410064,-2.3315725161337224,523.6327200000001,,,,,
2025-11-18 14:09:00,close,,,,,1047.52398,stop_loss,-0.0,2585.399999999308,1537.876019999308,59724.70643010043
2025-11-18 14:14:00,open,-8.0,83400.0,-6.131170208076568,-2.2823339564035647,523.96632,,,,,
2025-11-18 14:25:00,close,,,,,1048.0911,stop_loss,800.0000000004093,1584.600000000455,1336.5089000008643,61061.215330101295
2025-11-21 10:07:00,open,8.0,-83800.0,-5.735694591411914,2.5923757445256674,523.8921399999999,,,,,
2025-11-21 10:08:00,close,,,,,1047.7423800000001,stop_loss,2799.999999999727,418.9999999996189,2171.257619999346,63232.472950100644
2025-12-01 09:30:00,open,-8.0,85063.0,-7.380413158080742,-19.174236671763616,519.91729,,,,,
2025-12-01 09:31:00,close,,,,,1040.0812627,stop_loss,-0.0,2466.8270000008993,1426.7457373008992,64659.218687401546
2025-12-01 09:32:00,open,-8.0,84992.0,-7.282583755699804,-17.85723285881845,519.8730752000001,,,,,
2025-12-01 09:50:00,close,,,,,1038.2502912,stop_loss,15999.99999999909,-14958.592000000164,3.157708798926251,64662.376396200474
2025-12-01 09:51:00,open,-8.0,84985.0,-7.261483915224005,-17.57318154415381,519.1396070000001,,,,,
2025-12-01 14:14:00,close,,,,,1039.3500250000002,signal,-15199.999999999818,10708.110000000406,-5531.240024999412,59131.136371201064
2025-12-09 10:03:00,open,8.0,-85026.0,-7.1960680604663025,2.344958910690545,510.86312730000003,,,,,
2025-12-09 10:05:00,close,,,,,1021.8452910000001,stop_loss,3200.0000000005,-1190.3639999996424,987.7907090008578,60118.927080201924
2025-12-09 10:08:00,open,8.0,-85028.0,-7.198238658085387,2.321473971971724,510.8193112,,,,,
2025-12-10 09:30:00,close,,,,,1021.6471252000001,stop_loss,7199.999999999136,-85.028000000406,6093.32487479873,66212.25195500065
2025-12-12 09:51:00,open,8.0,-84814.0,-6.964543677130976,2.3912050673220735,514.8101366000001,,,,,
2025-12-12 09:57:00,close,,,,,1028.6703564000002,stop_loss,-5600.000000000591,9499.167999999556,2870.4976435989647,69082.74959859962
2025-12-12 09:59:00,open,8.0,-84828.0,-6.976590848559795,2.3042785849495426,514.2888743999999,,,,,
2025-12-12 10:12:00,close,,,,,1027.0847760000001,stop_loss,-10399.999999999636,14929.728000000165,3502.6432240005283,72585.39282260014
2025-12-12 10:16:00,open,8.0,-84833.0,-6.975808617607711,2.3099227799765063,513.7239424,,,,,
2025-12-12 14:08:00,close,,,,,1024.9622779000001,signal,-23200.000000000502,24856.06900000054,631.1067221000394,73216.49954470019
2025-12-18 11:12:00,open,8.0,-84568.0,-6.56828582951421,2.2734463968907677,510.29982720000004,,,,,
2025-12-18 11:14:00,close,,,,,1021.2592847999999,stop_loss,7999.999999999545,-6596.30400000025,382.4367151992951,73598.93625989948
2025-12-19 13:50:00,open,8.0,-84566.0,-6.560480012847691,2.2716874250361476,510.00080199999996,,,,,
2025-12-19 14:23:00,close,,,,,1019.7563626000001,stop_loss,0.0,2452.4139999996924,1432.6576373996922,75031.59389729917
2025-12-22 13:50:00,open,8.0,-84517.0,-6.474280331896068,2.286233062423478,508.5275093000001,,,,,
2025-12-22 14:09:00,close,,,,,1016.7845642000001,stop_loss,0.0,2704.543999999702,1687.7594357997018,76719.35333309887
2025-12-26 10:28:00,open,-8.0,84748.0,-6.854343996179338,-2.2666102532286994,513.334952,,,,,
2025-12-26 14:24:00,close,,,,,1024.466456,signal,15199.999999999818,-22034.480000000432,-7858.9464560006145,68860.40687709826
